"date_time","forecast","day_of_week","hour","is_holiday"
"2018-10-01 00:00:00",708.1,"Monday",0,0
"2018-10-01 01:00:00",486.9,"Monday",1,0
"2018-10-01 02:00:00",367.1,"Monday",2,0
"2018-10-01 03:00:00",345.8,"Monday",3,0
"2018-10-01 04:00:00",475.8,"Monday",4,0
"2018-10-01 05:00:00",1051.2,"Monday",5,0
"2018-10-01 06:00:00",2991.5,"Monday",6,0
"2018-10-01 07:00:00",5521.1,"Monday",7,0
"2018-10-01 08:00:00",5482.7,"Monday",8,0
"2018-10-01 09:00:00",4961.6,"Monday",9,0
"2018-10-01 10:00:00",4391.2,"Monday",10,0
"2018-10-01 11:00:00",4017.6,"Monday",11,0
"2018-10-01 12:00:00",4186.9,"Monday",12,0
"2018-10-01 13:00:00",4274.9,"Monday",13,0
"2018-10-01 14:00:00",4339.9,"Monday",14,0
"2018-10-01 15:00:00",4638.3,"Monday",15,0
"2018-10-01 16:00:00",5252.5,"Monday",16,0
"2018-10-01 17:00:00",6087.6,"Monday",17,0
"2018-10-01 18:00:00",5377.5,"Monday",18,0
"2018-10-01 19:00:00",4016.3,"Monday",19,0
"2018-10-01 20:00:00",3078,"Monday",20,0
"2018-10-01 21:00:00",2661,"Monday",21,0
"2018-10-01 22:00:00",2459.2,"Monday",22,0
"2018-10-01 23:00:00",1992.3,"Monday",23,0
"2018-10-02 00:00:00",1265.6,"Tuesday",0,0
"2018-10-02 01:00:00",724.6,"Tuesday",1,0
"2018-10-02 02:00:00",553,"Tuesday",2,0
"2018-10-02 03:00:00",464.7,"Tuesday",3,0
"2018-10-02 04:00:00",452.2,"Tuesday",4,0
"2018-10-02 05:00:00",652.3,"Tuesday",5,0
"2018-10-02 06:00:00",1579.5,"Tuesday",6,0
"2018-10-02 07:00:00",3094.1,"Tuesday",7,0
"2018-10-02 08:00:00",4352.5,"Tuesday",8,0
"2018-10-02 09:00:00",4327.6,"Tuesday",9,0
"2018-10-02 10:00:00",4052.5,"Tuesday",10,0
"2018-10-02 11:00:00",3877.2,"Tuesday",11,0
"2018-10-02 12:00:00",3898.9,"Tuesday",12,0
"2018-10-02 13:00:00",4042.2,"Tuesday",13,0
"2018-10-02 14:00:00",4092.2,"Tuesday",14,0
"2018-10-02 15:00:00",4286.2,"Tuesday",15,0
"2018-10-02 16:00:00",4617.4,"Tuesday",16,0
"2018-10-02 17:00:00",5114,"Tuesday",17,0
"2018-10-02 18:00:00",5084,"Tuesday",18,0
"2018-10-02 19:00:00",3838.6,"Tuesday",19,0
"2018-10-02 20:00:00",3004.1,"Tuesday",20,0
"2018-10-02 21:00:00",2618.1,"Tuesday",21,0
"2018-10-02 22:00:00",2290.3,"Tuesday",22,0
"2018-10-02 23:00:00",1842,"Tuesday",23,0
"2018-10-03 00:00:00",1375.7,"Wednesday",0,0
"2018-10-03 01:00:00",917.1,"Wednesday",1,0
"2018-10-03 02:00:00",655.4,"Wednesday",2,0
"2018-10-03 03:00:00",503.2,"Wednesday",3,0
