"key","timestamp","lookback","units","n_layers","dropout","learning_rate","batch_size","loss","target_log","mean_MAE","sd_MAE","mean_RMSE","sd_RMSE","mean_MAPE","sd_MAPE","mean_sMAPE","sd_sMAPE","mean_MASE","sd_MASE","f1_MAE","f1_MASE","f2_MAE","f2_MASE","f3_MAE","f3_MASE","f4_MAE","f4_MASE","best_epochs","secs"
"48|64|1|0.1|0.001|64|mse|FALSE","2026-08-30 15:46:18",48,64,1,0.1,0.001,64,"mse",FALSE,196.2366,12.9629,274.9463,19.9904,11.0854,2.2048,9.9884,1.5015,0.5642,0.0475,177.71,0.4952,207.21,0.5901,202.455,0.6,197.572,0.5717,"48;17;36;34",630.9
"48|64|1|0.2|0.001|64|mse|FALSE","2026-08-30 15:51:08",48,64,1,0.2,0.001,64,"mse",FALSE,244.6301,19.0461,331.2436,25.5461,14.4203,3.3533,12.3795,2.0988,0.7035,0.0666,216.882,0.6044,255.363,0.7272,247.735,0.7342,258.54,0.7481,"18;11;7;14",289.2
"48|64|1|0|0.001|64|mse|FALSE","2026-08-30 17:32:04",48,64,1,0,0.001,64,"mse",FALSE,171.6954,12.0305,259.9038,19.8021,7.9509,1.2297,7.6197,1.0176,0.4939,0.0475,157.778,0.4397,167.783,0.4778,186.366,0.5523,174.855,0.5059,"62;40;49;44",1696.4
"48|64|1|0.3|0.001|64|mse|FALSE","2026-08-30 17:44:44",48,64,1,0.3,0.001,64,"mse",FALSE,286.3435,45.373,386.7797,42.4978,16.6617,5.4983,14.6572,2.9692,0.8244,0.1455,250.632,0.6984,247.505,0.7048,306.103,0.9072,341.134,0.9871,"4;5;19;7",760.4
"168|64|1|0|0.001|64|mse|FALSE","2026-08-30 19:27:02",168,64,1,0,0.001,64,"mse",FALSE,173.4325,16.1894,258.9339,24.1938,7.9595,0.9978,7.7138,0.8201,0.4983,0.0573,155.005,0.4307,180.857,0.5135,191.8,0.5673,166.068,0.4818,"36;51;32;46",6137.9
"168|64|1|0.1|0.001|64|mse|FALSE","2026-08-30 20:56:28",168,64,1,0.1,0.001,64,"mse",FALSE,195.2034,25.3771,272.3086,26.7554,10.9214,1.9276,9.8822,1.5385,0.5608,0.0799,160.201,0.4451,220.953,0.6273,200.535,0.5932,199.124,0.5777,"24;17;48;51",5365.4
"168|64|1|0.2|0.001|64|mse|FALSE","2026-08-30 21:39:18",168,64,1,0.2,0.001,64,"mse",FALSE,236.4477,27.8017,321.995,33.842,13.9556,3.8985,12.0587,2.5788,0.6799,0.0965,197.61,0.549,235.599,0.6689,259.619,0.7679,252.964,0.7339,"22;6;23;10",2570.1
"168|64|1|0.3|0.001|64|mse|FALSE","2026-08-30 22:20:20",168,64,1,0.3,0.001,64,"mse",FALSE,283.9108,38.5622,379.0573,44.284,15.7097,3.7617,13.5918,2.4615,0.8164,0.1275,229.106,0.6366,304.836,0.8654,315.78,0.9341,285.921,0.8295,"19;7;19;6",2462.8
"48|64|1|0|3e-04|64|mse|FALSE","2026-08-30 23:24:11",48,64,1,0,3e-04,64,"mse",FALSE,174.5525,13.9719,268.5648,21.1767,8.1434,1.2741,7.6929,1.0945,0.5022,0.0532,159.222,0.4437,171.529,0.4884,193.031,0.5721,174.428,0.5047,"76;63;83;71",1882.1
"48|64|2|0|3e-04|64|mse|FALSE","2026-08-30 23:51:03",48,64,2,0,3e-04,64,"mse",FALSE,178.5758,16.6286,273.8992,25.5555,8.6483,1.8832,8.1092,1.4631,0.5139,0.0613,160.394,0.447,173.676,0.4946,200.329,0.5937,179.905,0.5206,"86;63;51;60",1611.9
