"key","timestamp","lookback","units","n_layers","dropout","learning_rate","batch_size","loss","target_log","mean_MAE","sd_MAE","mean_RMSE","sd_RMSE","mean_MAPE","sd_MAPE","mean_sMAPE","sd_sMAPE","mean_MASE","sd_MASE","f1_MAE","f1_MASE","f2_MAE","f2_MASE","f3_MAE","f3_MASE","f4_MAE","f4_MASE","best_epochs","secs"
"48|64|1|0|0.001|64|mse|FALSE","2026-09-02 00:22:58",48,64,1,0,0.001,64,"mse",FALSE,165.8536,16.1792,251.4998,25.419,7.7391,1.2622,7.4584,1.1908,0.4774,0.0591,148.367,0.4134,160.214,0.4562,186.911,0.5539,167.923,0.4859,"54;41;54;50",1089.5
"48|64|1|0.1|0.001|64|mse|FALSE","2026-09-02 00:30:31",48,64,1,0.1,0.001,64,"mse",FALSE,192.8005,20.4176,274.3624,26.8005,10.3792,2.7698,9.3978,2.0617,0.555,0.072,164.454,0.4583,193.264,0.5503,212.134,0.6287,201.35,0.5826,"32;24;20;30",453.4
"168|64|1|0|0.001|64|mse|FALSE","2026-09-02 01:04:38",168,64,1,0,0.001,64,"mse",FALSE,168.3244,18.3414,252.6602,27.2641,8.0059,1.3128,7.6263,1.0866,0.4839,0.065,145.794,0.4051,169.169,0.4803,190.694,0.5641,167.641,0.4863,"44;35;44;52",2046.1
"168|64|1|0.1|0.001|64|mse|FALSE","2026-09-02 01:28:23",168,64,1,0.1,0.001,64,"mse",FALSE,195.5038,21.752,274.2591,26.7858,10.9905,2.5034,9.8524,1.8537,0.5619,0.0737,163.016,0.4529,207.33,0.5886,208.144,0.6157,203.525,0.5904,"25;30;22;44",1425.6
"48|64|1|0|3e-04|64|mse|FALSE","2026-09-02 02:24:31",48,64,1,0,3e-04,64,"mse",FALSE,168.9502,14.762,259.9238,26.2355,7.996,1.2218,7.5531,1.0854,0.4862,0.0551,152.862,0.426,166.141,0.4731,188.609,0.559,168.189,0.4867,"150;63;83;88",2575.5
"48|64|1|0|0.003|64|mse|FALSE","2026-09-02 02:31:38",48,64,1,0,0.003,64,"mse",FALSE,170.3508,20.5638,254.4091,29.5337,8.0323,1.8499,7.6082,1.3501,0.4905,0.0719,153.765,0.4285,161.712,0.4605,200.295,0.5936,165.631,0.4793,"16;28;25;34",426.7
"48|64|2|0|3e-04|64|mse|FALSE","2026-09-02 03:04:04",48,64,2,0,3e-04,64,"mse",FALSE,174.9088,14.5772,272.4701,24.8243,8.4134,1.5472,7.8388,1.1874,0.5033,0.0551,161.039,0.4487,166.447,0.474,193.953,0.5748,178.196,0.5156,"78;64;73;69",1946.4
"48|64|2|0|0.001|64|mse|FALSE","2026-09-02 03:19:37",48,64,2,0,0.001,64,"mse",FALSE,170.1037,20.6083,253.1023,25.3201,8.2426,2.2368,7.8024,1.7366,0.4897,0.0719,154.456,0.4304,161.219,0.4591,200.389,0.5939,164.351,0.4755,"29;29;31;49",932.7
"48|64|2|0|0.003|64|mse|FALSE","2026-09-02 03:31:23",48,64,2,0,0.003,64,"mse",FALSE,163.7538,10.2324,246.5597,17.8585,7.4147,1.0198,7.1632,0.8112,0.471,0.0416,154.626,0.4309,159.122,0.4531,178.206,0.5281,163.061,0.4718,"11;27;28;30",705.8
"48|128|1|0|3e-04|64|mse|FALSE","2026-09-02 03:53:40",48,128,1,0,3e-04,64,"mse",FALSE,167.6903,15.5177,257.7061,25.0878,7.9867,1.3156,7.5637,1.0589,0.4826,0.0572,150.47,0.4193,161.321,0.4594,186.801,0.5536,172.169,0.4982,"51;33;53;62",1337.3
"48|128|1|0|0.001|64|mse|FALSE","2026-09-02 04:08:51",48,128,1,0,0.001,64,"mse",FALSE,167.1917,17.3367,252.4087,29.395,7.7703,1.3487,7.4698,1.0932,0.4813,0.0625,149.283,0.416,161.227,0.4591,190.539,0.5647,167.718,0.4853,"19;27;37;38",911.4
"48|128|1|0|0.003|64|mse|FALSE","2026-09-02 04:20:14",48,128,1,0,0.003,64,"mse",FALSE,174.8787,18.1043,257.7676,24.8171,8.3064,1.7087,7.9634,1.333,0.5033,0.065,161.193,0.4492,165.476,0.4712,201.273,0.5965,171.574,0.4964,"22;25;22;17",683
"48|128|2|0|3e-04|64|mse|FALSE","2026-09-02 05:05:25",48,128,2,0,3e-04,64,"mse",FALSE,167.1842,18.3194,255.0577,27.6504,7.7269,1.6349,7.4264,1.357,0.4813,0.0652,151.229,0.4214,154.145,0.4389,190.678,0.5651,172.685,0.4997,"58;38;50;55",2710.9
"48|128|2|0|0.001|64|mse|FALSE","2026-09-02 05:34:40",48,128,2,0,0.001,64,"mse",FALSE,164.7666,12.4601,247.3231,21.344,7.569,1.1789,7.2823,0.9567,0.474,0.0483,152.584,0.4252,158.725,0.452,181.455,0.5378,166.302,0.4812,"12;33;36;33",1754.9
"48|128|2|0|0.003|64|mse|FALSE","2026-09-02 05:56:08",48,128,2,0,0.003,64,"mse",FALSE,170.1035,13.1223,251.6896,19.5654,8.0849,1.128,7.761,0.8186,0.4894,0.05,156.849,0.4371,169.318,0.4821,188.117,0.5575,166.13,0.4807,"17;25;19;15",1288
