"hour_of_day","day_of_week","traffic_volume"
0,"Monday",637.036363636364
1,"Monday",398.790909090909
2,"Monday",305.8
3,"Monday",382.036363636364
4,"Monday",897.440366972477
5,"Monday",2627.80733944954
6,"Monday",5086.34862385321
7,"Monday",5803.55963302752
8,"Monday",5290.69724770642
9,"Monday",4578.1376146789
10,"Monday",4150.25688073394
11,"Monday",4331.30275229358
12,"Monday",4535.66055045872
13,"Monday",4601.5871559633
14,"Monday",4888.91743119266
15,"Monday",5336.20183486239
16,"Monday",5983.46788990826
17,"Monday",5571.2752293578
18,"Monday",4171.77064220183
19,"Monday",3028.85321100917
20,"Monday",2532.46788990826
21,"Monday",2230.05504587156
22,"Monday",1698.88073394495
23,"Monday",1136.5504587156
0,"Tuesday",633.834862385321
1,"Tuesday",387.376146788991
2,"Tuesday",299.880733944954
3,"Tuesday",379.403669724771
4,"Tuesday",904.779816513761
5,"Tuesday",2885.43119266055
6,"Tuesday",5561.77981651376
7,"Tuesday",6124.11926605505
8,"Tuesday",5637.12844036697
9,"Tuesday",5016.43119266055
10,"Tuesday",4370.8623853211
11,"Tuesday",4527.65137614679
12,"Tuesday",4728.4495412844
13,"Tuesday",4769.04587155963
14,"Tuesday",5062.4495412844
15,"Tuesday",5576.88073394495
16,"Tuesday",6297.63302752294
17,"Tuesday",5842.4128440367
18,"Tuesday",4401.49541284404
19,"Tuesday",3241.47706422018
20,"Tuesday",2797.2752293578
21,"Tuesday",2667.4495412844
22,"Tuesday",2077.67889908257
23,"Tuesday",1194.6880733945
0,"Wednesday",635.779816513761
1,"Wednesday",405.495412844037
2,"Wednesday",325.256880733945
3,"Wednesday",410.284403669725
4,"Wednesday",935.688073394495
5,"Wednesday",2909.29357798165
6,"Wednesday",5541.73394495413
7,"Wednesday",6089.06422018349
8,"Wednesday",5731.82568807339
9,"Wednesday",5068.34862385321
10,"Wednesday",4462.77064220183
11,"Wednesday",4651.93577981651
12,"Wednesday",4822.00917431193
13,"Wednesday",4844.39449541284
14,"Wednesday",5150.36697247706
15,"Wednesday",5603.55963302752
16,"Wednesday",6367.96330275229
17,"Wednesday",5926.21100917431
18,"Wednesday",4539.4495412844
19,"Wednesday",3370.28440366972
20,"Wednesday",2857.88990825688
21,"Wednesday",2513.19266055046
22,"Wednesday",1886.78899082569
23,"Wednesday",1226.00917431193
0,"Thursday",682.872727272727
1,"Thursday",408.109090909091
2,"Thursday",309.2
3,"Thursday",394.409090909091
4,"Thursday",926.609090909091
5,"Thursday",2813.00909090909
6,"Thursday",5439.31818181818
7,"Thursday",6163.16363636364
8,"Thursday",5654.62727272727
9,"Thursday",5036.42727272727
10,"Thursday",4535.64545454545
11,"Thursday",4745.89090909091
12,"Thursday",4929.32727272727
13,"Thursday",4949.91818181818
14,"Thursday",5244.47272727273
15,"Thursday",5714.58181818182
16,"Thursday",6352.85454545455
17,"Thursday",5912.55454545455
18,"Thursday",4615.62727272727
19,"Thursday",3506.9
20,"Thursday",3058.04545454545
21,"Thursday",2972.35454545455
22,"Thursday",2420.42727272727
23,"Thursday",1443.33636363636
0,"Friday",821.372727272727
1,"Friday",501.981818181818
2,"Friday",368.454545454545
3,"Friday",408.390909090909
4,"Friday",876.390909090909
5,"Friday",2621.62727272727
6,"Friday",5097.44545454545
7,"Friday",5953.82727272727
8,"Friday",5343.89090909091
9,"Friday",4814.72727272727
10,"Friday",4591.69090909091
11,"Friday",4897.18181818182
12,"Friday",5140.04545454545
13,"Friday",5110.23636363636
14,"Friday",5332.99090909091
15,"Friday",5687.73636363636
16,"Friday",6010.94545454545
17,"Friday",5505.13636363636
18,"Friday",4635.86363636364
19,"Friday",3681.72727272727
20,"Friday",3081.32727272727
21,"Friday",2991.92727272727
22,"Friday",2678.76363636364
23,"Friday",1929.43636363636
0,"Saturday",1301.94545454545
1,"Saturday",814.1
2,"Saturday",629.318181818182
3,"Saturday",439.836363636364
4,"Saturday",456.263636363636
5,"Saturday",773.745454545455
6,"Saturday",1325.60909090909
7,"Saturday",1949.11818181818
8,"Saturday",2813.26363636364
9,"Saturday",3518.36363636364
10,"Saturday",4000.30909090909
11,"Saturday",4376.28181818182
12,"Saturday",4632.69090909091
13,"Saturday",4574.75454545455
14,"Saturday",4581.5
15,"Saturday",4536.7
16,"Saturday",4506.26363636364
17,"Saturday",4361.74545454545
18,"Saturday",4080.24545454545
19,"Saturday",3466.47272727273
20,"Saturday",3056.84545454545
21,"Saturday",3087.89090909091
22,"Saturday",3047.40909090909
23,"Saturday",2222.56363636364
0,"Sunday",1471.30909090909
1,"Sunday",915.7
2,"Sunday",662.354545454545
3,"Sunday",418.718181818182
4,"Sunday",384.072727272727
5,"Sunday",565.909090909091
6,"Sunday",959.490909090909
7,"Sunday",1341.93636363636
8,"Sunday",2011.75454545455
9,"Sunday",2787.17272727273
10,"Sunday",3510.35454545455
11,"Sunday",3853.14545454545
12,"Sunday",4176.48181818182
13,"Sunday",4263.20909090909
14,"Sunday",4292.02727272727
15,"Sunday",4270.27272727273
16,"Sunday",4268.52727272727
17,"Sunday",4098.16363636364
18,"Sunday",3688.17272727273
19,"Sunday",3189.07272727273
20,"Sunday",2773.50909090909
21,"Sunday",2311.79090909091
22,"Sunday",1792.12727272727
23,"Sunday",1220.42727272727
