"date_time","forecast","is_holiday","hour","day_of_week"
"2018-10-01 00:00:00",560,0,0,"Monday"
"2018-10-01 01:00:00",303,0,1,"Monday"
"2018-10-01 02:00:00",190,0,2,"Monday"
"2018-10-01 03:00:00",275,0,3,"Monday"
"2018-10-01 04:00:00",738,0,4,"Monday"
"2018-10-01 05:00:00",2439,0,5,"Monday"
"2018-10-01 06:00:00",4831,0,6,"Monday"
"2018-10-01 07:00:00",5588,0,7,"Monday"
"2018-10-01 08:00:00",5192,0,8,"Monday"
"2018-10-01 09:00:00",4561,0,9,"Monday"
"2018-10-01 10:00:00",4099,0,10,"Monday"
"2018-10-01 11:00:00",4113,0,11,"Monday"
"2018-10-01 12:00:00",4271,0,12,"Monday"
"2018-10-01 13:00:00",4354,0,13,"Monday"
"2018-10-01 14:00:00",4621,0,14,"Monday"
"2018-10-01 15:00:00",5137,0,15,"Monday"
"2018-10-01 16:00:00",5726,0,16,"Monday"
"2018-10-01 17:00:00",5180,0,17,"Monday"
"2018-10-01 18:00:00",3812,0,18,"Monday"
"2018-10-01 19:00:00",2799,0,19,"Monday"
"2018-10-01 20:00:00",2423,0,20,"Monday"
"2018-10-01 21:00:00",2087,0,21,"Monday"
"2018-10-01 22:00:00",1509,0,22,"Monday"
"2018-10-01 23:00:00",924,0,23,"Monday"
"2018-10-02 00:00:00",496,0,0,"Tuesday"
"2018-10-02 01:00:00",272,0,1,"Tuesday"
"2018-10-02 02:00:00",181,0,2,"Tuesday"
"2018-10-02 03:00:00",286,0,3,"Tuesday"
"2018-10-02 04:00:00",815,0,4,"Tuesday"
"2018-10-02 05:00:00",2706,0,5,"Tuesday"
"2018-10-02 06:00:00",5171,0,6,"Tuesday"
"2018-10-02 07:00:00",5755,0,7,"Tuesday"
"2018-10-02 08:00:00",5357,0,8,"Tuesday"
"2018-10-02 09:00:00",4770,0,9,"Tuesday"
"2018-10-02 10:00:00",4234,0,10,"Tuesday"
"2018-10-02 11:00:00",4211,0,11,"Tuesday"
"2018-10-02 12:00:00",4340,0,12,"Tuesday"
"2018-10-02 13:00:00",4421,0,13,"Tuesday"
"2018-10-02 14:00:00",4687,0,14,"Tuesday"
"2018-10-02 15:00:00",5241,0,15,"Tuesday"
"2018-10-02 16:00:00",5935,0,16,"Tuesday"
"2018-10-02 17:00:00",5427,0,17,"Tuesday"
"2018-10-02 18:00:00",3990,0,18,"Tuesday"
"2018-10-02 19:00:00",2931,0,19,"Tuesday"
"2018-10-02 20:00:00",2521,0,20,"Tuesday"
"2018-10-02 21:00:00",2231,0,21,"Tuesday"
"2018-10-02 22:00:00",1623,0,22,"Tuesday"
"2018-10-02 23:00:00",947,0,23,"Tuesday"
"2018-10-03 00:00:00",494,0,0,"Wednesday"
"2018-10-03 01:00:00",288,0,1,"Wednesday"
"2018-10-03 02:00:00",205,0,2,"Wednesday"
"2018-10-03 03:00:00",303,0,3,"Wednesday"
"2018-10-03 04:00:00",786,0,4,"Wednesday"
"2018-10-03 05:00:00",2606,0,5,"Wednesday"
"2018-10-03 06:00:00",5102,0,6,"Wednesday"
"2018-10-03 07:00:00",5724,0,7,"Wednesday"
"2018-10-03 08:00:00",5381,0,8,"Wednesday"
"2018-10-03 09:00:00",4858,0,9,"Wednesday"
"2018-10-03 10:00:00",4300,0,10,"Wednesday"
"2018-10-03 11:00:00",4292,0,11,"Wednesday"
"2018-10-03 12:00:00",4403,0,12,"Wednesday"
"2018-10-03 13:00:00",4481,0,13,"Wednesday"
"2018-10-03 14:00:00",4713,0,14,"Wednesday"
"2018-10-03 15:00:00",5235,0,15,"Wednesday"
"2018-10-03 16:00:00",5965,0,16,"Wednesday"
"2018-10-03 17:00:00",5499,0,17,"Wednesday"
"2018-10-03 18:00:00",4128,0,18,"Wednesday"
"2018-10-03 19:00:00",3038,0,19,"Wednesday"
"2018-10-03 20:00:00",2622,0,20,"Wednesday"
"2018-10-03 21:00:00",2437,0,21,"Wednesday"
"2018-10-03 22:00:00",1861,0,22,"Wednesday"
"2018-10-03 23:00:00",1092,0,23,"Wednesday"
"2018-10-04 00:00:00",569,0,0,"Thursday"
"2018-10-04 01:00:00",333,0,1,"Thursday"
"2018-10-04 02:00:00",245,0,2,"Thursday"
"2018-10-04 03:00:00",333,0,3,"Thursday"
"2018-10-04 04:00:00",797,0,4,"Thursday"
"2018-10-04 05:00:00",2633,0,5,"Thursday"
"2018-10-04 06:00:00",5120,0,6,"Thursday"
"2018-10-04 07:00:00",5724,0,7,"Thursday"
"2018-10-04 08:00:00",5336,0,8,"Thursday"
"2018-10-04 09:00:00",4775,0,9,"Thursday"
"2018-10-04 10:00:00",4375,0,10,"Thursday"
"2018-10-04 11:00:00",4408,0,11,"Thursday"
"2018-10-04 12:00:00",4517,0,12,"Thursday"
"2018-10-04 13:00:00",4609,0,13,"Thursday"
"2018-10-04 14:00:00",4823,0,14,"Thursday"
"2018-10-04 15:00:00",5296,0,15,"Thursday"
"2018-10-04 16:00:00",5953,0,16,"Thursday"
"2018-10-04 17:00:00",5513,0,17,"Thursday"
"2018-10-04 18:00:00",4245,0,18,"Thursday"
"2018-10-04 19:00:00",3151,0,19,"Thursday"
"2018-10-04 20:00:00",2752,0,20,"Thursday"
